,text,id,polarities
35,Service- friendly and attentive.,1055910:3,['positive']
36,Ambiance- relaxed and stylish.,1055910:4,['positive']
37,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",1055910:5,['positive']
38,the food is decent.,1058221:2,['neutral']
39,"however, it's the service that leaves a bad taste in my mouth.",1058221:3,['negative']
40,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",1058221:4,['negative']
41,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",1058221:5,['negative']
42,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",1058221:6,['negative']
43,the last time i walked by it looked pretty empty. hmmm.,1058221:7,['negative']
44,This place has got to be the best japanese restaurant in the new york area.,1062641:0,['positive']
45,I had a great experience.,1062641:1,['positive']
46,Food is great.,1062641:2,['positive']
47,Service is top notch.,1062641:3,['positive']
48,I have been going back again and again.,1062641:4,['positive']
49,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",1064477:0,['positive']
50,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",1064477:1,['positive']
51,The sushi seemed pretty fresh and was adequately proportioned.,1064477:2,"['positive', 'positive']"
52,The rice to fish ration was also good--they didn't try to overpack the rice.,1064477:3,['positive']
53,We took advanatage of the half price sushi deal on saturday so it was well worth it.,1064477:4,"['positive', 'positive']"
54,Surprisingly nothing could be further from the truth.,1074868:2,['positive']
55,"In the evening, this place attracted a well dressed, with it, NY crowd.",1074868:3,['positive']
56,The food was well prepared and the service impecable.,1074868:4,"['positive', 'positive']"
57,I'm going back.,1074868:5,['positive']
58,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,1084394:1,['positive']
59,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,1084394:3,"['positive', 'positive', 'positive']"
60,I will be going back and heartily recommend it!,1084394:4,['positive']
61,"It is terrific, as is the value.",1086415:1,"['positive', 'positive']"
62,"$6 and there is much tasty food, all of it fresh and continually refilled.",1086415:2,"['positive', 'positive', 'positive']"
63,"I am not a vegetarian but, almost all the dishes were great.",1086415:3,['positive']
64,Go hungry and enjoy.,1086415:5,['positive']
65,"The food here is rather good, but only if you like to wait for it.",1086478:0,"['positive', 'negative']"
66,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",1086478:1,"['positive', 'positive', 'positive', 'negative', 'negative']"
67,"The service varys from day to day- sometimes they're very nice, and sometimes not.",1086478:2,['negative']
68,"The kitchen however, is almost always slow.",1086478:3,['negative']
69,"Also, specify if you like your food spicy- its rather bland if you don't.",1086478:4,['negative']
70,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",1086478:5,"['positive', 'positive']"
71,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,1090587:1,['positive']
72,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,1090587:2,"['positive', 'positive', 'positive']"
73,The lava cake dessert was incredible and I recommend it.,1090587:3,['positive']
74,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",1102681:0,['positive']
75,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",1102681:1,['positive']
76,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",1102681:2,"['positive', 'negative', 'positive', 'negative']"
77,"However, go for the ambience, and consider the food just a companion for a trip across the world!",1102681:3,"['positive', 'neutral']"
78,IT WAS HORRIBLE.,1118167:1,['negative']
79,The pizza was delivered cold and the cheese wasn't even fully melted!,1118167:2,"['negative', 'negative']"
80,It looked like shredded cheese partly done - still in strips.,1118167:3,['negative']
81,This has got to be one of the most overrated restaurants in Brooklyn.,1119578:0,['negative']
82,The pizza is overpriced and soggy.,1119578:1,"['negative', 'negative']"
83,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",1119578:2,"['positive', 'negative', 'negative']"
84,"A big disappointment, all around.",1119578:3,['negative']
85,I think I've had some the best meals of my life at minnow.,1123262:0,['positive']
86,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",1123262:1,"['positive', 'positive', 'positive']"
87,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,1123262:2,['positive']
88,Worth the trip from Manhattan.,1123262:3,['positive']
89,Best Pastrami I ever had and great portion without being ridiculous.,1125006:1,"['positive', 'positive']"
90,My wife had the fried shrimp which are huge and loved it.,1125006:3,"['positive', 'positive']"
91,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",1125284:0,['positive']
92,This place is the most Japanese it can ever get.,1125284:1,['positive']
93,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",1125284:2,"['positive', 'positive', 'positive', 'positive']"
94,This place is worth an one-hour drive.,1125284:3,['positive']
95,"I am so coming back here again, as much as I can.",1125284:4,['positive']
96,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",1126814:0,"['positive', 'positive', 'positive', 'positive', 'positive']"
97,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",1126814:1,['positive']
98,Decent wine at reasonable prices.,1126814:3,"['neutral', 'positive']"
99,Have been dozens of times and never failed to enjoy the experience.,1126814:4,['positive']
100,"Our teenage kids love it, too.",1126814:5,['positive']
101,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",1126886:0,['positive']
102,This is by far my favorite place in the neighborhood.,1126886:1,['positive']
103,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",1126886:2,"['positive', 'positive', 'positive', 'positive']"
104,I'm partial to the Gnocchi.,1126886:4,['positive']
105,This place is incredibly tiny.,1131595:0,['negative']
106,They refuse to seat parties of 3 or more on weekends.,1131595:1,['negative']
107,The hostess is rude to the point of being offensive.,1131595:2,['negative']
108,The food was bland oily.,1131595:3,['negative']
109,I just don't understand all the hype...,1131595:4,['negative']
110,"We have been to this place many times, and always have great food, wine, and service.",1138996:1,"['positive', 'positive', 'positive']"
111,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",1138996:2,['positive']
112,As always we had a great glass of wine while we waited.,1138996:3,['positive']
113,"When we sat, we got great and fast service.",1138996:4,['positive']
114,The people that work there are always so friendly you forget you are in New York sometimes.,1138996:5,['positive']
115,Make sure you try this place as often as you can.,1138996:6,['positive']
116,This is a fun restaurant to go to.,1145510:0,['positive']
117,The pizza is yummy and I like the atmoshpere.,1145510:1,"['positive', 'positive']"
118,But the pizza is way to expensive.,1145510:2,['negative']
119,"A large is $20, and toppings are about $3 each.",1145510:3,"['negative', 'negative']"
120,I went there for lunch and it was not as good as I expected from the reviews I read.,1147082:0,['negative']
121,Sauce was watery and the food didn't have much flavor.,1147082:1,"['negative', 'negative']"
122,I don't think I would go again.,1147082:3,['negative']
123,This place is great.,1147211:0,['positive']
124,I had a huge group for my birthday and we were well taken care of.,1147211:1,['positive']
125,The waitress was very patient with us and the food is phenomenal!,1147211:2,"['positive', 'positive']"
126,"Service was prompt, friendly and great.",1147211:3,['positive']
127,Slightly on the pricey side but worth it!,1147211:4,"['negative', 'positive']"
128,Great pizza and fantastic service.,1153034:0,"['positive', 'positive']"
129,"There was a small wait, but shorter than I expected.",1153034:1,['positive']
130,Located at the end of a magnificent block.,1153034:2,['positive']
131,Very cozy and warm inside.....,1153034:3,['positive']
132,I will be back!,1153034:4,['positive']
133,This is the best sushi in new york city - hands down.,1154550:0,['positive']
134,The place is small and cramped but the food is fantastic.,1154550:1,"['negative', 'positive']"
135,Get the tuna of gari.,1154550:2,['positive']
136,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",1162037:0,"['positive', 'positive', 'positive']"
137,"With the great variety on the menu , I eat here often and never get bored .",1162037:1,['positive']
138,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",1162037:2,"['neutral', 'positive']"
139,It's all about the food !!,1162037:3,['positive']
140,first it took us a long time to find the place.,1167434:1,['negative']
141,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",1167434:3,['negative']
142,"those rolls were big, but not good and sashimi wasn't fresh.",1167434:5,"['neutral', 'negative', 'negative']"
143,"they were dry and disgusting, i didn't even finish my first piece.",1167434:6,['negative']
144,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,1175958:0,['positive']
145,"Try the crunchy tuna, it is to die for.",1175958:1,['positive']
146,"Try everything for that matter, it is all good.",1175958:2,['positive']
147,I have been going there since it opened and I can't get enough.,1175958:3,['positive']
148,First went here to enjoy their garden terrace.,1189674:0,['positive']
149,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",1189674:1,"['positive', 'positive']"
150,"The Steak Tartare is a great bet, they fix it for you at the table.",1189674:2,['positive']
151,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",1189674:3,"['positive', 'negative']"
152,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",1189674:4,"['positive', 'positive', 'positive']"
153,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",1189674:5,"['neutral', 'positive', 'positive']"
154,"Have recommended the place to friends, always gets good response.",1189674:6,['positive']
155,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",1199292:0,"['positive', 'positive']"
156,I take all my NYC guests to VT's.,1199292:3,['positive']
157,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",1199480:0,"['positive', 'positive']"
158,I've been there three times and have always had wonderful experiences.,1199480:1,['positive']
159,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,1199480:2,"['positive', 'positive', 'positive']"
160,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,1205520:0,['positive']
161,Even after they overcharged me the last time I was there.,1205520:1,['negative']
162,Make sure you have the Spicy Scallop roll.. .,1205520:2,['positive']
163,it's delicious!,1205520:3,['positive']
164,"Moules were excellent, lobster ravioli was VERY salty!",1212346:0,"['positive', 'negative']"
165,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",1212346:1,['negative']
166,"Told us to sit anywhere, and when we sat he said the table was reserved.",1212346:2,['negative']
167,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,1212346:3,['negative']
168,Tiny dessert was $8.00...just plain overpriced for what it is.,1212346:4,"['negative', 'negative']"
169,The drinks are always welll made and wine selection is fairly priced.,1221938:0,"['positive', 'positive']"
170,Try their chef's specials-- they are to die for.,1221938:1,['positive']
171,"Service is not exactly five star, but thats not really a big deal.",1221938:2,['neutral']
172,Downstairs lounge is always a good attraction,1221938:3,['positive']
173,"Raga's is a romantic, cozy restaurant.",1225162:0,['positive']
174,The exotic food is beautifully presented and is a delight in delicious combinations.,1225162:1,"['positive', 'positive']"
175,It is also extremely well priced.,1225162:2,['positive']
176,The staff is incredibly helpful and attentive.,1225162:3,['positive']
177,The bar is very well stocked with interesting beers and well priced wines.,1225162:4,"['positive', 'positive', 'positive']"
178,This is one of my favorite restaurants and it is not to be missed.,1225162:5,['positive']
179,Your friends will thank you for introducing them to this gem!,1225162:6,['positive']
180,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",1227999:0,['negative']
181,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",1227999:1,['negative']
182,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",1227999:2,['negative']
183,Such a disappointment...,1227999:3,['negative']
184,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",1227999:4,"['negative', 'neutral', 'negative']"
185,I had a grat time at Jekyll and Hyde!,1230993:0,['positive']
186,I loved everythig about it-especially the shows and actors.,1230993:1,"['positive', 'positive', 'positive']"
187,Our server was very helpful and friendly.,1230993:2,['positive']
188,I am bringing my whole family back next time.,1230993:3,['positive']
189,The food was good too.,1230993:4,['positive']
190,The tuna and wasabe potatoes are excellent.,1232468:0,"['positive', 'positive']"
191,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,1232468:1,['positive']
192,"Inside is a little cramped, but to be expected.",1232468:2,['neutral']
193,Service was prompt and courteous.,1232468:3,['positive']
194,This was a repeat visit and we'll definitely be back again.,1232468:4,['positive']
195,"Great service, great food.",1241906:0,"['positive', 'positive']"
196,Prices are in line.,1241906:1,['neutral']
197,But too far east!,1241906:3,['negative']
198,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",1253117:1,"['positive', 'positive']"
199,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",1253117:2,['negative']
200,"Also, because it is so thin, it gets cold very quickly and its not that filling.",1253117:3,"['negative', 'negative']"
201,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,1253117:5,"['negative', 'positive']"
202,By far the best salad I have had in a fast food restaurant.,1256373:0,['positive']
203,fine dining restaurant quality.,1256373:1,['positive']
204,Over 100 different choices to create your own.,1256373:2,['positive']
205,A must try!,1256373:3,['positive']
206,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",1264954:0,['positive']
207,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",1264954:1,"['positive', 'positive']"
208,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",1264954:2,"['positive', 'positive', 'positive', 'positive']"
209,"With so many poor experiences to be had in the theater district, is truly an excellent find!",1264954:3,['positive']
210,We will return many times for this oasis in mid-town.,1264954:4,['positive']
211,The staff is no nonsense.,1269216:1,['positive']
212,The food options rule.,1269216:2,['positive']
213,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,1269216:3,['positive']
214,Worth visiting the 1st Ave spot because it is the original store.,1269216:4,['positive']
215,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",1275154:4,['positive']
216,The sake menu should not be overlooked!,1275154:6,['positive']
217,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",1275154:7,['positive']
218,Try the lobster teriyaki and the rose special roll.,1275154:8,"['positive', 'positive']"
219,"Service was very good - prompt, attentive and non-intrusive.",1280166:1,['positive']
220,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",1280166:2,"['positive', 'negative']"
221,Wine list selection is good and wine-by-the-glass was generously filled to the top.,1280166:3,"['positive', 'positive']"
222,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,1280166:4,"['positive', 'negative']"
223,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",1280179:0,['positive']
224,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",1280179:1,['neutral']
225,"Seating is always prompt, though the restaurant does fill up in the evening.",1280179:2,['positive']
226,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",1280179:3,"['positive', 'negative']"
227,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1280179:4,['neutral']
228,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",1280179:5,"['positive', 'positive']"
229,I have NEVER been disappointed in the Red Eye.,1286916:0,['positive']
230,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",1286916:1,"['positive', 'positive']"
231,It's simply the best meal in NYC.,1286916:3,['positive']
232,You cannot go wrong at the Red Eye Grill.,1286916:4,['positive']
233,"If we were to move from the upper east side, we would genuinely miss this restaurant.",1287538:0,['positive']
234,The restaurant is cute but not upscale.,1287538:2,['neutral']
235,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,1287538:3,"['positive', 'positive']"
236,I would highly recommend it.,1287538:4,['positive']
237,It's one of our favorite places to eat in NY.,1287538:5,['positive']
238,We had a great time at the Jekyll and hyde Pub last night.,1289424:0,['positive']
239,After really enjoying ourselves at the bar we sat down at a table and had dinner.,1289424:2,['positive']
240,The server was really cool and served us our food and drinks with a smile.,1289424:3,['positive']
241,The place's decor and hidden bathrooms made for a good laugh.,1289424:4,"['positive', 'positive']"
242,I highly recommend visiting this restaurant and having dinner and drinks!,1289424:5,['positive']
243,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",1293334:0,['positive']
244,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",1293334:1,['positive']
245,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",1293334:2,"['positive', 'positive', 'positive']"
246,The entertainment was great they have shows that go on through out the dinner.,1293334:3,['positive']
247,"Please take my advice, go and try this place.",1293334:4,['positive']
248,You will not be disapointed at all.,1293334:6,['positive']
249,We were not dissappointed in the least bit by this little gem.,1297844:1,['positive']
250,The bagel was huge.,1297844:2,['positive']
251,They were served warm and had a soft fluffy interior.,1297844:3,['positive']
252,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,1297844:4,['negative']
253,I loved it and would HIGHLY RECOMMEND.,1297844:5,['positive']
254,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,1300636:0,"['positive', 'positive']"
255,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,1300636:2,"['positive', 'positive']"
256,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",1300636:3,"['positive', 'positive', 'positive']"
257,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",1300636:4,"['positive', 'positive', 'positive']"
258,All the staff is absolutely professional!! ,1303888:0,['positive']
259,But they do.,1303888:2,['positive']
260,"(that is A MUST, but not every restaurant can do...) ",1303888:3,['positive']
261,"There's nice and quiet, small but enough for 6 (or more).",1303888:5,['positive']
262,This restaurant was way overhyped.,1303984:0,['negative']
263,My chow fun and chow see was really bland and oily.,1303984:1,['negative']
264,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,1303984:2,['negative']
265,The scallion pancakes and fried dumplings were nothing out of the ordinary.,1303984:3,"['neutral', 'neutral']"
266,The service was the only thing good about this restaurant.,1308557:0,"['positive', 'negative']"
267,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",1308557:1,"['negative', 'negative', 'negative', 'negative']"
268,I definitely wouldn't go back.,1308557:2,['negative']
269,Their pad penang is delicious and everything else is fantastic.,1310217:1,"['positive', 'positive']"
270,The price is reasonable although the service is poor.,1310217:2,"['positive', 'negative']"
271,fresh restaurant was amazing........ food was delicious and of course fresh.,1318537:0,"['positive', 'positive']"
272,"great for a romantic evening, or a fun evening with friends...",1318537:1,"['positive', 'positive']"
273,I will be going back very soon.,1318537:2,['positive']
274,keep up the good work.,1318537:3,['positive']
275,Hats off to the chef.,1318537:4,['positive']
276,It was wonderful.,1328078:2,['positive']
277,"the salads are delicious, both refreshing and very spicy.",1328078:3,['positive']
278,We had Pam's special fried fish and it was amazing.,1328078:4,['positive']
279,too large for just two people but nothing was left.,1328078:5,"['neutral', 'positive']"
280,"Great vibe, lots of people.",1335154:1,['positive']
281,"My husbands was perfect, my was well done and dry.",1335154:3,"['positive', 'negative']"
282,"I didn't complain, I liked the atmosphere so much.",1335154:4,['positive']
283,On a hot day it was fabulous to stop in and enjoy lunch.,1335656:1,['positive']
284,"Ambience is so cute and quaint, good for business although we were there on vacation.",1335656:2,"['positive', 'positive']"
285,Salads were fantastic.,1335656:3,['positive']
286,Although we were looking for regular lettuce and some walnuts the salads we got were great.,1335656:4,['positive']
287,Ingredients are organic which is a real plus for me.,1335656:5,['positive']
288,We will be back.,1335656:6,['positive']
289,"This is some really good, inexpensive sushi.",1338124:0,"['positive', 'positive']"
290,The spicy Tuna roll is huge and probably the best that I've had at this price range.,1338124:2,"['positive', 'positive', 'positive']"
291,The Yellowtail was particularly good as well.,1338124:3,['positive']
292,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",1338124:4,"['negative', 'negative']"
293,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",1338124:5,['positive']
294,Big Wong gets big Ups for a fine establishment.,1340075:0,['positive']
295,"They have it all -- great price, food, and service.",1340075:1,"['positive', 'positive', 'positive', 'positive']"
296,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,1340075:2,"['negative', 'positive']"
297,The food is prepared quickly and efficiently.,1340075:3,['positive']
298,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",1340075:4,"['positive', 'positive', 'positive', 'positive']"
299,The takeout is great too since they give high quality tupperware as well.,1340075:5,['positive']
300,This place is always very crowded and popular.,1340075:6,['positive']
301,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,1341354:1,"['positive', 'positive']"
302,We both opted for a pasta dish and they were served timely and fresh.,1341354:2,"['positive', 'positive']"
303,"We concluded with tiramisu chocolate cake, both were delicious.",1341354:3,"['positive', 'positive']"
304,We'd go back again,1341354:4,['positive']
305,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,1347423:0,['positive']
306,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",1347423:1,"['positive', 'positive', 'positive']"
307,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,1347423:2,['positive']
308,"Yes, the prices are high, but I felt it was worth it.",1347423:3,"['negative', 'positive']"
309,We all felt it was worth it.,1347423:4,['positive']
310,sometimes i get good food and ok service.,1349391:0,"['positive', 'neutral']"
311,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",1349391:1,"['negative', 'negative', 'negative', 'positive']"
312,it is not consistent.,1349391:2,['negative']
313,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,1352948:0,"['positive', 'positive', 'positive', 'positive']"
314,And where does Patis go wrong; no where. ,1352948:1,['positive']
315,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",1352948:2,"['positive', 'positive']"
316,And evaluated on those terms Pastis is simply wonderful.,1352948:3,['positive']
317,Right off the L in Brooklyn this is a nice cozy place with good pizza.,1353599:0,"['positive', 'positive']"
318,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,1353599:1,"['negative', 'positive']"
319,My friend got the mushroom pizza which tasted better.,1353599:2,['positive']
320,The sangria was pretty tasty and good on a hot muggy day.,1353599:3,['positive']
321,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,1353599:4,['neutral']
322,Overall I would recommend it and go back again.,1353599:5,['positive']
323,I started out with a Bombay beer which was big enough for two.,1357554:0,['positive']
324,MMmmm... it was delicious.,1357554:2,['positive']
325,"Service was slow, but the people were friendly.",1357554:3,"['negative', 'positive']"
326,It's a nice place to relax and have conversation.,1357554:4,['positive']
327,I can't wait to go back.,1357554:5,['positive']
328,The food is authentic Italian - delicious!,1367358:1,['positive']
329,"Pizza is terrific, as is homemade pasta.",1367358:2,"['positive', 'positive']"
330,"Ambience is delightful, service impeccable.",1367358:3,"['positive', 'positive']"
331,I'm still mad that i had to pay for lousy food.,1380450:0,['negative']
332,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,1380450:1,"['negative', 'negative']"
333,Service was also horrible and the ambience is not that great.,1380450:2,"['negative', 'negative']"
334,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,1380450:3,['negative']
335,I go and eat out at many different restaurants and this is one place you have go and try.,1387314:0,['positive']
336,This is my first time writing a review for a restaurant because the food and service was excellent.,1387314:1,"['positive', 'positive']"
337,The filet mignon dish was superb!,1387314:2,['positive']
338,I would defiantly come back here again as one of my top choices.,1387314:3,['positive']
339,It's a small cute restaurant.,1387314:4,['positive']
340,I absolutely love this place!!!,1390357:0,['positive']
341,"I like the ambience, it's very dark and original.",1390357:2,['positive']
342,The sushi is amazing!!! ,1390357:4,['positive']
343,And amazingly cheap.,1390357:5,['positive']
344,Big thumbs up!,1390357:6,['positive']
345,Very affordable and excellent ambient!,1394712:0,"['positive', 'positive']"
346,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,1394712:1,['negative']
347,We were very disappointed.,1394712:2,['negative']
348,We won't go to this place again for a good meal.,1394712:3,['negative']
349,"However, I think this place is a good hang out spot.",1394712:4,['positive']
