,text,id,polarities
56,Estuve cenando con unos amigos y la comida estuvo riquísima y el trato de las camareras excelente.,es_9reinas_52_MarianCamps_2011-12-11:0,"['positive', 'positive']"
57,Repetiremos seguro!!,es_9reinas_52_MarianCamps_2011-12-11:1,['positive']
58,Lo mejor: dejarse aconsejar por ellos a la hora de elegir plato.,es_9reinas_52_MarianCamps_2011-12-11:2,['positive']
59,Me encanto!!!,es_9reinas_53_Adriana_2011-12-01:0,['positive']
60,Sobran las palabras...volveré seguro!,es_9reinas_53_Adriana_2011-12-01:1,['positive']
61,El restaurants comimos muy bien y ademas un servicio encantador y eficiente.,es_9reinas_54_MartaColomer_2011-11-24:0,"['positive', 'positive']"
62,"Tomamos Vacío y Entrañas (especialidades conocidas, entre otras cosas, por lo blando de su carne).",es_9reinas_55_JoseMCazorlaMontero_2011-11-03:0,[]
63,"En algunos momentos, nos llegamos a preguntar si lo que teníamos en la boca era carne o un trozo de neumático.",es_9reinas_55_JoseMCazorlaMontero_2011-11-03:1,['negative']
64,Decepcionante...,es_9reinas_55_JoseMCazorlaMontero_2011-11-03:2,['negative']
65,"La calidad de la comida excelente, el servicio super amable y siempre atento.",es_9reinas_56_Michael_2011-09-28:0,"['positive', 'positive']"
66,El ambiente muy acogedor.,es_9reinas_56_Michael_2011-09-28:1,['positive']
67,Una experiencia culinaria inolvidable.,es_9reinas_56_Michael_2011-09-28:2,['positive']
68,Comida y Servicio estupendo,es_9reinas_58_NuriaCasas_2011-09-17:0,"['positive', 'positive']"
69,Todo muy bueno,es_9reinas_5_MiroPietrov_2014-12-31:0,['positive']
70,"ambiente íntimo y tranquilo, buen trato y buena calidad en las carnes.",es_9reinas_61_JoseLuis_2011-07-09:0,"['positive', 'positive', 'positive']"
71,El precio un tanto elevado pero razonable.,es_9reinas_61_JoseLuis_2011-07-09:1,['neutral']
72,"Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.",es_9reinas_62_LuciaLinaresSilveria_2011-06-17:0,"['positive', 'positive', 'positive', 'positive', 'positive']"
73,Muy buena relación calidad-precio.,es_9reinas_62_LuciaLinaresSilveria_2011-06-17:1,"['positive', 'positive']"
74,"Buen servicio, ambiente y excelente comida.",es_9reinas_63_JorgeCiollaro_2011-05-26:0,"['positive', 'positive', 'positive']"
75,"La comida muy rica, pero el local extremadamente ruidoso (sobre todo el piso de arriba).",es_9reinas_64_Anonimo_2011-05-14:0,"['positive', 'neutral']"
76,Llegaba un momento en que apetecía irse por el ruido.,es_9reinas_64_Anonimo_2011-05-14:1,['negative']
77,Poca intimidad.,es_9reinas_64_Anonimo_2011-05-14:2,['negative']
78,"Quizás bueno para cenas de grupo, pero parejas abstenerse.",es_9reinas_64_Anonimo_2011-05-14:3,['neutral']
79,"Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.",es_9reinas_67_Anonimo_2011-05-02:0,"['positive', 'positive', 'positive', 'positive', 'positive']"
80,"Muy recomendable, por tanto.",es_9reinas_67_Anonimo_2011-05-02:1,['positive']
81,"Como salvedad, diré que, a excepción del jefe de sala (o propietario, cosa que desconozco), atento, educado y detallista, el resto del servicio, pinganillos inalámbricos incluidos, no está a la altura del resto, más en lo que respecta a educación y formas que a la capacidad: habría que cuidar aspectos como retirar casi a la carrera platos sin terminar, tutear por defecto u ofrecer el silencio como toda respuesta a la duda del comensal en la elección entre dos opciones.",es_9reinas_67_Anonimo_2011-05-02:2,"['positive', 'negative']"
82,"Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.",es_9reinas_67_Anonimo_2011-05-02:3,"['positive', 'positive', 'negative', 'positive', 'positive']"
83,"Fue una cena perfecta, por el lugar y sobre todo por la comida.",es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24:0,"['positive', 'positive']"
84,Tienen una carta bastante extensa donde cada plato parece mejor que el anterior.,es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24:1,['positive']
85,"Para los amantes de la carne no dudéis en pedir el Solomillo del Chef, exquisíto.",es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24:2,['positive']
86,<->Aunque los productos sean de calidad el precio es elevado,es_barceloneta_0_Jesus_2015-09-07:0,"['positive', 'negative']"
87,<+>El local y su situación,es_barceloneta_0_Jesus_2015-09-07:1,[]
88,Sólo puedo decir cosas buenas de este restaurante.,es_barceloneta_101_Marc_2010-09-16:0,['positive']
89,Comimos muy bien y bien atendidos.,es_barceloneta_101_Marc_2010-09-16:1,"['positive', 'positive']"
90,Las gambas fresquísimas.,es_barceloneta_101_Marc_2010-09-16:2,['positive']
91,Una maravilla como está decorado.,es_barceloneta_101_Marc_2010-09-16:3,['positive']
92,Muy agradable y con unas vistas increíbles.,es_barceloneta_101_Marc_2010-09-16:4,"['positive', 'positive']"
93,"De la comida no tengo nada que decir, pero las mesas se tocan, el servicio no es amable, en definitiva muy caro para lo que es calida precio totalmente desequilibrada.",es_barceloneta_102_Joan_2010-05-15:0,"['neutral', 'negative', 'negative', 'negative']"
94,He ido varias veces al restaurante.,es_barceloneta_104_Vanesa_2010-03-04:0,[]
95,La comida muy buena.,es_barceloneta_104_Vanesa_2010-03-04:1,['positive']
96,Lo que no me gusta es el servicio.,es_barceloneta_104_Vanesa_2010-03-04:2,['negative']
97,"El último día que fuimos pedimos ostras y nos sentaron mal, a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...",es_barceloneta_105_Fer_2009-12-04:0,"['negative', 'negative', 'negative']"
98,Fuimos un lunes noche de julio.,es_barceloneta_107_Pedro_2009-07-29:0,[]
99,La única sonrisa que vimos entre el personal fue de la chica que nos condujo a nuestra mesa.,es_barceloneta_107_Pedro_2009-07-29:1,['negative']
100,"A partir de ahi, caras serias (por no decir de mal humor), distraidas, de los camareros... que a veces se hacían esperar, y otras veces se abalanzaban para liquidar la mesa.",es_barceloneta_107_Pedro_2009-07-29:2,['negative']
101,"Cubiertos mal puestos, sin la mas mínima delicadeza.",es_barceloneta_107_Pedro_2009-07-29:3,['negative']
102,"Platos mal presentados, sobrevolando las cabezas de los comensales.",es_barceloneta_107_Pedro_2009-07-29:4,['negative']
103,El servicio realmente malo.,es_barceloneta_107_Pedro_2009-07-29:5,['negative']
104,"La comida decente, aunque en relación al precio no estaba a la altura.",es_barceloneta_107_Pedro_2009-07-29:6,"['positive', 'negative']"
105,"Lo siento, pero no lo recomiendo en tales condiciones.",es_barceloneta_107_Pedro_2009-07-29:7,['negative']
106,Saludos,es_barceloneta_107_Pedro_2009-07-29:8,[]
107,"Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.",es_barceloneta_108_Pol_2009-07-24:0,"['negative', 'positive', 'positive', 'negative']"
108,"Sabado pasado, a las 13h, poca gente, o sea,cocina sin agobios, paella,simplemente lamentable.",es_barceloneta_108_Pol_2009-07-24:1,['negative']
109,"Es una pena,era de lo mejorcito de Barcelona",es_barceloneta_108_Pol_2009-07-24:2,['negative']
110,Cena de negocio a más de 50 € pp y de primeros: longaniza de vic?,es_barceloneta_109_Miguel_2009-06-11:0,['negative']
111,tal vez del Lidl; anchoas?,es_barceloneta_109_Miguel_2009-06-11:1,['negative']
112,"una o dos pp; de segundo bacalao a la llauna diminuto con ""secas"" de lata / carne con patatas fritas fast food.",es_barceloneta_109_Miguel_2009-06-11:2,"['negative', 'negative']"
113,"por el precio podrían haber sido ""peladas y fritas"", no?",es_barceloneta_109_Miguel_2009-06-11:3,['negative']
114,"en fin, lleno de turistas que vienen una sola vez (de los cruceros?)",es_barceloneta_109_Miguel_2009-06-11:4,['negative']
115,sin importarles que el cliente vuelva de nuevo por ello.,es_barceloneta_109_Miguel_2009-06-11:5,[]
116,muy defraudado por el precio y la calidad; antes no eran así!,es_barceloneta_109_Miguel_2009-06-11:6,"['negative', 'negative', 'negative']"
117,Fue una cena para 4 en Sábado estaba lleno.,es_barceloneta_110_MaricarmenRuesga_2009-05-25:0,[]
118,El servicio fue perfecto.,es_barceloneta_110_MaricarmenRuesga_2009-05-25:1,['positive']
119,La cocina deliciosa.,es_barceloneta_110_MaricarmenRuesga_2009-05-25:2,['positive']
120,A través de los años nunca me han defraudado es un valor seguro.,es_barceloneta_110_MaricarmenRuesga_2009-05-25:3,['positive']
121,Coincido con los Datos de la ficha.,es_barceloneta_110_MaricarmenRuesga_2009-05-25:4,[]
122,La relación calidad precio también es buena alrededor de 50 € por persona pero para una cena perfecta no lo considero caro.,es_barceloneta_110_MaricarmenRuesga_2009-05-25:5,['positive']
123,"Arroz caldoso lamentable (para guiris, puede estar hasta bueno) y caro en general.",es_barceloneta_111_Srpoke_2009-03-15:0,"['neutral', 'negative']"
124,"Muy bueno, calidad, servicio que justifican su precio.",es_barceloneta_112_JuanAntonio_2009-03-05:0,"['positive', 'positive', 'positive']"
125,"Y de vulgar nada de nada, todo lo contrario.",es_barceloneta_112_JuanAntonio_2009-03-05:1,['positive']
126,Lo recomiendo a los que son capaces de apreciar y valorar el placer gastronómico.,es_barceloneta_112_JuanAntonio_2009-03-05:2,['positive']
127,"Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitrê es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.",es_barceloneta_113_Anonimo_2009-02-14:0,"['positive', 'positive', 'positive', 'positive', 'positive']"
128,El local es bonito y la situación inmejorable.,es_barceloneta_114_Anonimo_2009-02-07:0,"['positive', 'positive']"
129,Sin embargo el precio es muy alto y con el tiempo ha ido subiendo de forma espectacular sin que mejore el producto.,es_barceloneta_114_Anonimo_2009-02-07:1,['negative']
130,Yo no lo recomiendo.,es_barceloneta_114_Anonimo_2009-02-07:2,['negative']
131,Caro.,es_barceloneta_117_Anonimo_2008-12-06:0,['negative']
132,La comida siempre bien.,es_barceloneta_117_Anonimo_2008-12-06:1,['positive']
133,Si te toca cerca de los ventanales vistas de lujo.,es_barceloneta_117_Anonimo_2008-12-06:2,['positive']
134,Comida excelente asi como su el servicio de camarero.,es_barceloneta_118_Olga_2008-12-01:0,"['positive', 'positive']"
135,Un tanto caótica la recepción.,es_barceloneta_118_Olga_2008-12-01:1,['negative']
136,"En cuanto a la carta, el tartar de lubina, supremo así como sus postres.",es_barceloneta_118_Olga_2008-12-01:2,"['positive', 'positive']"
137,Volveremos.,es_barceloneta_118_Olga_2008-12-01:3,['positive']
138,gracias,es_barceloneta_118_Olga_2008-12-01:4,['positive']
139,Óptimo en la calidad del producto y su elaboración.,es_barceloneta_11_AntonioSerranoPueyo_2015-01-15:0,['positive']
140,Servicio excelente.,es_barceloneta_11_AntonioSerranoPueyo_2015-01-15:1,['positive']
141,Homogeneidad imbatible.,es_barceloneta_11_AntonioSerranoPueyo_2015-01-15:2,['positive']
142,No se puede pedir más.,es_barceloneta_11_AntonioSerranoPueyo_2015-01-15:3,['positive']
143,He visitado este restaurante cada vez que viajo a Barcelona y siempre ha sido excelso.,es_barceloneta_11_AntonioSerranoPueyo_2015-01-15:4,['positive']
144,"No puedo más que recomendarlo ya que, sin duda, es uno de los valores más seguros de la Ciudad Condal.",es_barceloneta_11_AntonioSerranoPueyo_2015-01-15:5,['positive']
145,Servicio impecable y se come de maravilla!,es_barceloneta_120_Gabriela_2008-07-18:0,"['positive', 'positive']"
146,"Buen reestaurante, buena calidad en los platos.",es_barceloneta_122_Luis_2008-05-20:0,"['positive', 'positive']"
147,El único defecto es que es muy ruidoso y en algunos lugares las mesas estan muy pegadas unas a otras y creo que por el precio que pagas  podrían tener las mesas mas separadas.,es_barceloneta_122_Luis_2008-05-20:1,"['negative', 'negative']"
148,Buenisima la langosta a la plancha,es_barceloneta_123_Isabel_2008-05-16:0,['positive']
149,Lugar perfecto.,es_barceloneta_126_MarcSoler_2008-04-30:0,['positive']
150,Comida digna y servicio excelente.,es_barceloneta_126_MarcSoler_2008-04-30:1,"['positive', 'positive']"
151,Para ir y repetir.,es_barceloneta_126_MarcSoler_2008-04-30:2,['positive']
152,excelemte cocina y excelente servicio,es_barceloneta_128_MariaCantero_2008-04-01:0,"['positive', 'positive']"
153,Es una pasada.,es_barceloneta_129_JoanCarles_2008-03-26:0,['positive']
154,La atención y esmero del servicio y de su maitre son dignos de premio.,es_barceloneta_129_JoanCarles_2008-03-26:1,"['positive', 'positive']"
155,Un valor seguro.,es_barceloneta_12_AntonioSerranoPueyo_2014-12-15:0,['positive']
156,Producto y cocina catalana y marinera de un muy buen nivel y servicio excelente.,es_barceloneta_12_AntonioSerranoPueyo_2014-12-15:1,"['positive', 'positive']"
157,Un restaurante muy homogéneo y que nunca defraudará.,es_barceloneta_12_AntonioSerranoPueyo_2014-12-15:2,['positive']
158,"Repito cada vez que puedo, con la familia o con la empresa.",es_barceloneta_130_Alvaro_2008-03-21:0,['positive']
159,"La atención es exquisita y la comida (fideua,arroces y entrantes) de muy buena calidad.",es_barceloneta_130_Alvaro_2008-03-21:1,"['positive', 'positive']"
160,El precio lo vale y el entorno más.,es_barceloneta_130_Alvaro_2008-03-21:2,"['positive', 'positive']"
161,Muy recomendable.,es_barceloneta_132_Fer_2008-02-11:0,['positive']
162,No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.,es_barceloneta_132_Fer_2008-02-11:1,"['positive', 'negative', 'positive']"
163,"Buen ambiente, servicio mediocre.",es_barceloneta_132_Fer_2008-02-11:2,"['positive', 'negative']"
164,"fuimos a cenar para un cumpleaños con amigos y fue fantastico, un buen trato  y la comida excelente, sobretodo el solomillo a los 3 quesos y la cabra caliente sobre pure de manzana...",es_barceloneta_133_Theo_2008-02-02:0,"['positive', 'positive', 'positive', 'positive', 'positive']"
165,"Calidad/Precio :elevado , la ubicación y el entorno muy agradable, pero en el interior hay un exceso de ruido que hacer sentirse incómodo y no disfrutar de la comida, sinceramente prefiero otros donde me encuentro mas agusto.",es_barceloneta_135_Pedro_2007-11-24:0,"['positive', 'positive', 'negative', 'negative', 'negative', 'negative']"
166,"Un lugar magnífico para comer buen marisco y cualquiera de sus arroces o suquet, aunque muy recomendable, no lo recomendaría para una cena íntima romántica, puesto que las conversaciones de las mmesas vecinas son muy animadas, puesto que el local se presta a ello, y el ambiente es de familias o grupos en general.",es_barceloneta_137_Gema_2007-09-28:0,"['positive', 'negative', 'negative', 'neutral']"
167,"Servicio excelente, vistas magníficas y excelente relación calidad-precio, siempre teniendo en cuenta que la calidad es muy alta.",es_barceloneta_137_Gema_2007-09-28:1,"['positive', 'positive', 'positive', 'positive']"
168,Más que recomendable.,es_barceloneta_137_Gema_2007-09-28:2,['positive']
169,"he ido varias veces pero el sitio es para turistas y aunque la calidad es buena el precio es exagerado y el servicio deja mucho que desear, sobretodo en cuanto a las reservas.",es_barceloneta_138_Jordi_2007-09-18:0,"['positive', 'negative', 'negative']"
170,solo iré como ultimo recurso.,es_barceloneta_138_Jordi_2007-09-18:1,['negative']
171,"Me parece un lugar estupendo, la comida está buenisima y el servicio estupendo, dignos de admirar.",es_barceloneta_139_Ana_2007-04-17:0,"['positive', 'positive', 'positive', 'positive']"
172,un lugar para ir con alguien especial(como fuí yo..),es_barceloneta_139_Ana_2007-04-17:1,['positive']
173,Estuve de nuevo en el Restaurante Barceloneta y pude disfrutar otra vez de una comida excelente:,es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:0,['positive']
174,"Unos entrantes magníficos: Buñuelos de Bacalao, Revuelto de ceps con butifarra y gambas al ajillo.",es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:1,"['positive', 'positive', 'positive']"
175,como plato principal una Paella de pescado y marisco.,es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:2,[]
176,De postres el magnífico Tiramisú y un Queso Gallego de Tetilla con Dulce de Membrillo.,es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:3,"['positive', 'positive']"
177,"Para beber, agua con gas y sin gas y una botella de Gran Vos 2007 de Viñas del Vero.",es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:4,[]
178,D.O.,es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:5,[]
179,Somontano.,es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:6,[]
180,"El producto de primera, la elaboración excelente y el servicio impecable.",es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:7,"['positive', 'positive']"
181,"La luz natural que entra por la vidriera de la terraza, añadida a la decoración tan acogedora da una sensación de bienestar difícil de conseguir en otros lugares.",es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:8,"['positive', 'positive']"
182,"En fin, que voy a regresar tantas veces como pueda y siempre que visite Barcelona.",es_barceloneta_13_AntonioSerranoPueyo_2014-11-21:9,['positive']
183,Uno de mis restaurantes favoritos.,es_barceloneta_140_Santi_2006-12-29:0,['positive']
184,"Como ya he leído en algún comentario, de los pocos sitios donde se paga lo que se come, y se come bien, muy bien.",es_barceloneta_140_Santi_2006-12-29:1,['positive']
185,Es un sitio fantástico por la buena calidad de sus productos.,es_barceloneta_142_Pachi_2006-11-16:0,"['positive', 'positive']"
186,Los arroces y suquets inmejorables.,es_barceloneta_142_Pachi_2006-11-16:1,"['positive', 'positive']"
187,"El local impresionante, con una terraza preciosa con vistas al puerto.",es_barceloneta_144_Sergio_2006-10-30:0,['positive']
188,"El servicio, mas que correcto.",es_barceloneta_144_Sergio_2006-10-30:1,['positive']
189,"La comida, excepcional para mi gusto.",es_barceloneta_144_Sergio_2006-10-30:2,['positive']
190,"Los precios, depende de lo que pidas, puedes estar entre 40 y 60 euros por persona.",es_barceloneta_144_Sergio_2006-10-30:3,['neutral']
191,"Destacar los arroces, la caldereta de bogavante, las zamburiñas al horno y los platos de ""picoteo"" y los pescados en general.",es_barceloneta_144_Sergio_2006-10-30:4,"['positive', 'positive', 'positive', 'positive', 'positive']"
192,Inmejorable calidad.,es_barceloneta_145_Anonimo_2006-09-21:0,['positive']
193,Especialmente exquisitos los buñuelos de bacalao y el arroz caldoso ah y el jamón de vicio.,es_barceloneta_145_Anonimo_2006-09-21:1,"['positive', 'positive', 'positive']"
194,Una de las mejores paellas que he comido en un restaurante en Barcelona.,es_barceloneta_147_Arturo_2006-09-16:0,['positive']
195,Además tiene una terraza impresionamnte.,es_barceloneta_147_Arturo_2006-09-16:1,['positive']
196,Si tienes cuidado con lo que pides puedes comer muy bien sin dejarte la cartera.,es_barceloneta_147_Arturo_2006-09-16:2,"['positive', 'positive']"
197,Del todo recomendable.,es_barceloneta_147_Arturo_2006-09-16:3,['positive']
198,"Posiblemente el restaurante con la mejor terraza de Barcelona, con vistas al mar y una comida estupenda.",es_barceloneta_148_Ana_2006-09-10:0,"['positive', 'positive']"
199,Servicio bueno pero poca simpatía.,es_barceloneta_149_Rosa_2006-07-22:0,['neutral']
200,Arroz muy bueno pero escasa ración.,es_barceloneta_149_Rosa_2006-07-22:1,"['positive', 'negative']"
201,Los vinos carísimos.,es_barceloneta_149_Rosa_2006-07-22:2,['negative']
202,Mesa interior sin vistas.,es_barceloneta_149_Rosa_2006-07-22:3,['negative']
203,No repetiremos.,es_barceloneta_149_Rosa_2006-07-22:4,['negative']
204,Somos clientes asiduos .segir que lo bordais GRACIAS .,es_barceloneta_14_HoracioPerezGarcia_2014-10-13:0,['positive']
205,"restaurante de lujo autentico, con un pianista muy ameno que te hace pasar una cena romantica especialmente si vas acompañado de alguien especial.",es_barceloneta_150_Juan_2006-07-04:0,"['positive', 'positive']"
206,muy buena paella,es_barceloneta_15_BrunoVergottini_2014-10-05:0,['positive']
207,Un valor seguro para comer.,es_barceloneta_17_JoanLluisOlmoLorenzo_2014-06-29:0,['positive']
208,Toda la comida muy buena y un servicio al mismo nivel.,es_barceloneta_17_JoanLluisOlmoLorenzo_2014-06-29:1,"['positive', 'positive']"
209,"La paella, una de las mejores de la ciudad.",es_barceloneta_17_JoanLluisOlmoLorenzo_2014-06-29:2,['positive']
210,Nos ha encantado.,es_barceloneta_18_JoseRamonGranollersGonzalez_2014-06-21:0,['positive']
211,"Cenar en la terraza: fantastico, el servicio: excelente, la comida: fabulosa, el precio: bueno, pelín caro, pero vale la pena.",es_barceloneta_18_JoseRamonGranollersGonzalez_2014-06-21:1,"['positive', 'positive', 'positive', 'negative']"
212,Repetiremos.,es_barceloneta_18_JoseRamonGranollersGonzalez_2014-06-21:2,['positive']
213,<->No hay nada negativo.,es_barceloneta_1_Antonio_2015-09-06:0,['positive']
214,<+>La excelencia en el producto y la homogeneidad.,es_barceloneta_1_Antonio_2015-09-06:1,['positive']
215,<+>este restaurante siempre es excelente.,es_barceloneta_1_Antonio_2015-09-06:2,['positive']
216,<+>Nunca falla.,es_barceloneta_1_Antonio_2015-09-06:3,['positive']
217,<+>Es un valor seguro.,es_barceloneta_1_Antonio_2015-09-06:4,['positive']
